Unnamed: 0,STT,Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Quý,Năm,Trạng thái kiểm toán,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu thuần,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Doanh thu hoạt động tài chính,Chi phí tài chính,Trong đó: Chi phí lãi vay,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý doanh  nghiệp,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận khác,Lãi/ lỗ từ công ty liên doanh (trước 2015),Tổng lợi nhuận kế toán trước thuế,Chi phí thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi ích của cổ đông thiểu số,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Lãi trước thuế,Khấu hao TSCĐ,Tổng lợi nhuận kế toán trước thuế,Lợi nhuận sau thuế thu nhập doanh nghiệp
5,6,AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,5,2024,Chưa kiểm toán,582832152244.00,582832152244.00,54958501990.00,5065670281.00,-21391907415.00,-11611622566.00,0.00,-9928549781.00,-28666916135.00,36798940.00,3341735808.00,0.00,3378534748.00,-3823949670.00,-445414922.00,68487842.00,-513902764.00,-62.00,3378534748.00,41363636773.00,62500000000.00,50000000000.00
5,7,AAV,Việt Tiên Sơn Địa ốc,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,5,2020,Chưa kiểm toán,323663812902.00,323656900902.00,31718249909.00,13816063231.00,-4372532123.00,-4372505807.00,0.00,-521050962.00,-22298065284.00,18342664771.00,-573784318.00,0.00,17768880453.00,-3386588439.00,14382292014.00,1039790427.00,13342501587.00,419.00,17768880453.00,7547333313.00,37500000000.00,30000000000.00
5,7,AAV,Việt Tiên Sơn Địa ốc,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,5,2021,Chưa kiểm toán,500844443428.00,500844443428.00,50961466996.00,4705364373.00,-3278915163.00,-3278915163.00,0.00,-531014951.00,-12556908501.00,39299992754.00,-733770386.00,0.00,38566222368.00,-8392574161.00,30173648207.00,5094167773.00,25079480434.00,696.00,38566222368.00,3629315808.00,23750000000.00,19000000000.00
5,7,AAV,Việt Tiên Sơn Địa ốc,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,5,2022,Chưa kiểm toán,496455980482.00,496455980482.00,39948163620.00,1946085812.00,-6675069808.00,-6675069808.00,0.00,-1718178.00,-28273788065.00,6943673381.00,-11570960.00,0.00,6932102421.00,-3415646083.00,3516456338.00,2008482936.00,1507973402.00,22.00,6932102421.00,9773646195.00,16250000000.00,13000000000.00
5,7,AAV,Việt Tiên Sơn Địa ốc,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,5,2023,Đã kiểm toán,73112403857.00,73112403857.00,3214495149.00,3119984002.00,-5264603024.00,-5264448534.00,0.00,-1226760920.00,-17718007120.00,-17874891913.00,823199074.00,0.00,-17051692839.00,-276386502.00,-17328079341.00,-391371915.00,-16936707426.00,-252.00,-17051692839.00,2178976005.00,16250000000.00,13000000000.00
5,7,AAV,Việt Tiên Sơn Địa ốc,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,5,2024,Chưa kiểm toán,38485998242.00,38485998242.00,-92032770.00,4098278812.00,-312376292.00,-312376292.00,0.00,-1456593504.00,-15530722583.00,-13293446337.00,-347010733.00,0.00,-13640457070.00,0.00,-13640457070.00,-1692556970.00,-11947900100.00,-173.00,-13640457070.00,11351265490.00,16250000000.00,13000000000.00
5,8,ABA,Giải pháp Thương mại A BA,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải,5,2023,Đã kiểm toán,327119672196.00,327119672196.00,42309969606.00,633554266.00,-58591937290.00,-38738573674.00,0.00,-4889226864.00,-35382772047.00,-55920412329.00,-3061930828.00,0.00,-58982343157.00,-127584786.00,-59109927943.00,-1527576959.00,-57582350984.00,-3792.00,-58982343157.00,39763398958.00,,
5,8,ABA,Giải pháp Thương mại A BA,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải,5,2024,Chưa kiểm toán,380088741433.00,380088741433.00,44459084581.00,169057742.00,-63726773238.00,-63726773238.00,0.00,-7028345615.00,-33915943820.00,-60042920350.00,-10613492965.00,0.00,-70656413315.00,-182042786.00,-70838456101.00,-1791151293.00,-69047304808.00,-4646.00,-70656413314.00,37306481005.00,,
5,9,ABB,Ngân hàng An Bình,UPCoM,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,5,2020,Đã kiểm toán,,,,,,,,,,,,0.00,1403197000000.00,-285540000000.00,1117657000000.00,0.00,1117657000000.00,1956.00,,,1973000000000.00,1578400000000.00
5,9,ABB,Ngân hàng An Bình,UPCoM,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,5,2021,Đã kiểm toán,,,,,,,,,,,,0.00,1958809000000.00,-398831000000.00,1559978000000.00,0.00,1559978000000.00,2694.00,,,3079000000000.00,2463200000000.00
